Order ID,Order Date,Customer ID,First Name,Last Name,Email,Phone,Billing Address,Shipping Address,Country,Product,SKU,Quantity,Price,Total Price,Discount,Tax,Shipping Cost,Grand Total,Payment Method,Fulfillment Status,Carrier,Tracking Number,Return Status,Refunded Amount
b1d2f6f6-b527-44bc-8895-62564f83a635,2023-05-25,d9c6328d-bec6-4a76-80fa-a070967e3c20,Stephanie,Douglas,carteralvin@gmail.com,(387)092-4639x052,"9746 Diana Motorway Suite 168
Port Lisaton, MO 02577","4342 Shelly Lane Apt. 442
Belltown, WI 12322",Hong Kong,Mechanical Keyboard,ELEC-4753,2,109.99,219.98,10,21.998,10.52392841343873,242.50192841343872,Bank Transfer,fulfilled,UPS,7a39f559-d39,Partially Returned,109.99
2e1acf25-e533-48da-b50d-3efd0837864e,2023-03-27,7107dd0d-29a6-474d-b93c-0bf5be1bd214,Stephen,Parker,morrisscott@yahoo.com,+1-016-629-0183,"14611 Harris Mills
Brownview, OK 25110","9228 David Inlet Suite 500
West Daniel, IN 51981",India,VR Headset,ELEC-5344,3,249.99,749.97,15,74.997,18.503739610582045,828.4707396105821,PayPal,partially fulfilled,DHL,5d2f87bc-c8b,Not Returned,0.0
aaf9b555-dee6-41e7-a5bc-e30fd2ab3339,2023-03-10,79aee1bb-3a10-4639-a246-f035aac66b70,Ashley,Walker,bishoperica@young.biz,(200)872-6306x50552,"3244 Russell Forks Suite 761
New Jonathan, PA 40753","1420 Evans Orchard
South Alyssaport, KS 61157",Niger,4K Action Camera,ELEC-8253,2,149.99,299.98,0,29.998000000000005,12.82635297441955,342.80435297441954,Credit Card,partially fulfilled,FedEx,eb8c3f43-aca,Not Returned,0.0
743cb726-1a86-4c69-8fee-0c9bde207025,2023-12-05,8e615077-416a-4f64-8498-8b600af0482c,Susan,Frazier,glopez@taylor.org,+1-323-463-3116,"08626 Scott View Apt. 688
Vasquezchester, DE 96909","4435 Benjamin Ferry Suite 604
South Antonio, NJ 24863",Togo,Smartwatch,ELEC-1862,3,199.99,599.97,15,59.99700000000001,17.009566193357553,661.9765661933575,Bank Transfer,unfulfilled,,,Partially Returned,299.985
28a5c845-c8d9-4449-9467-2b6269287e5f,2024-04-17,0de35112-1607-4b07-8502-906661e23947,Jonathan,Scott,brivera@hotmail.com,001-615-435-5581x39995,"6507 White Junction
Lake Derrickberg, AL 33640","7038 Wright Junctions
Dylanburgh, ID 72868",Bangladesh,Smart Home Hub,ELEC-3823,3,129.99,389.97,15,38.99700000000001,14.37446312000181,428.34146312000183,Google Pay,unfulfilled,,,Not Returned,0.0
4aa123f0-1c9f-4450-982f-38ee3c826499,2024-03-21,19ce91dc-4148-4f52-a27c-e66707c7509d,Jacob,Mitchell,rodriguezdavid@gmail.com,+1-114-657-3843x803,"Unit 9492 Box 9075
DPO AP 50179","373 Smith Course Suite 527
Comptonbury, OH 63937",Austria,Smartwatch,ELEC-8577,3,199.99,599.97,5,59.99700000000001,10.908934089264461,665.8759340892644,Google Pay,partially fulfilled,FedEx,7cdd7871-079,Not Returned,0.0
907cdc4c-2be5-44e2-ad1a-1e4da2129c7b,2025-01-27,d27bf957-ee12-4584-97bb-9f63e822bb17,Christine,Wells,alexander01@stewart.com,854-070-8294x67745,"42504 Lewis Brooks
Port Randy, DC 38740","4182 Robert Square
Edwardstad, OK 74737",Spain,Wireless Earbuds,ELEC-6411,3,49.99,149.97,10,14.997,22.193393947878487,177.16039394787848,Google Pay,partially fulfilled,USPS,3fa3dd0b-42f,Partially Returned,74.985
51cf3f63-2a1a-4440-bcf6-5e96cf55739c,2024-03-28,d5d7e4b2-b956-4c80-be8a-e580cfbec512,Jillian,Garcia,guzmanalexander@gmail.com,(730)369-7886,"2752 Pierce Knoll Suite 409
Port Jameschester, SD 11607","110 Stephen Fork
West Jason, MN 83121",Cook Islands,4K Action Camera,ELEC-8181,1,149.99,149.99,0,14.999000000000002,8.890090590502941,173.87909059050295,Google Pay,partially fulfilled,FedEx,0ad2b7d8-a38,Partially Returned,74.995
de244d67-f5a8-4186-a3b7-7181a7cbbd5c,2024-01-03,a07c3898-90dd-48f7-8ded-4adea2e95d6f,Miguel,Woods,jordandenise@james-sparks.com,001-186-138-5420,"78386 David Shore
East Derekstad, AL 20129","982 Cynthia Forest
New Joseph, WA 14693",Malawi,Mechanical Keyboard,ELEC-2580,2,109.99,219.98,10,21.998,17.710220497259733,249.6882204972597,Credit Card,fulfilled,FedEx,2903c6e3-bd4,Not Returned,0.0
6410c027-4c75-40ea-8e29-9cbb23fd7d61,2024-12-08,095509e7-f4bf-4ac3-a94d-cfb5371dabcb,Donald,Campos,edwardsangela@yahoo.com,767-708-3060x962,"4514 Paul Spurs
Port Billfort, CT 06450","7542 Fred Passage Apt. 425
Port Michael, MT 31434",Guadeloupe,Portable Charger,ELEC-2040,3,39.99,119.97,5,11.997,24.618071834328546,151.58507183432852,Google Pay,fulfilled,DHL,d418a55b-636,Returned,119.97
